source_genesymbol,target_genesymbol,interaction_type
Rela,Hnf4a,-|
Rela,Flt4,->
Sp1,Gpc4,->
Casp3,Hnrnpu,->
Mycn,Xrcc3,->
Chuk,Ncor2,-|
Rela,Hsp90aa1,->
Mapk14,Cnot3,->
Fos,Clu,-|
Insr,Blvra,->
Blvra,Prkcb,->
Prkcb,Grn,->
Stat6,Icos,->
Esr1,Tdg,->
Tdg,Nkx2-1,->
Mapk14,Grhl3,->
Tp53,Ndrg1,->
Myc,Rcc1,->
Rela,Ddit3,-|
Gli1,Dkk3,->
Esr1,Dbh,->
Dapk1,Mcm3,->
Rela,Ccne1,-|
Esr1,Capn2,->
Irf3,Tnfrsf11a,->
E2f1,Mcm8,->
Insr,Hck,->
Hck,Fkbp8,->
Prkca,Ppp1r14a,->
Fyn,Ptprt,->
Stat6,Egln3,->
Dapk1,Stx3,-|
Rel,Bcl2,-|
Bcl2,Bik,-|
Ikbke,Tank,-|
Nfatc1,Gpc6,->
Mapk1,Rps6ka1,->
Casp8,Casp8ap2,->
Stat3,Stk35,->
Rela,Tnfsf14,->
Foxo3,Dkk1,->
Rela,Smad7,->
Rela,Bcl2l1,->
Stat6,Th,->
Csnk2a1,Slitrk1,->
Foxp3,Pim2,->
Esr1,Dll1,->
Esr1,Krt5,->
Ctnnb1,Birc7,->
Foxa2,St18,-|
Sp1,Adam17,->
Gsk3b,Tjp1,->
Akt1,Acin1,->
Stat6,Pdcd1lg2,->
Plk1,Rest,->
Pparg,Nr2f2,->
Mapk3,Rps6ka3,->
Nfatc1,Il17f,->
Bid,Casp8,->
Casp8,Tp73,->
Tp73,Dapk1,->
Dapk1,Rigi,->
Ar,Nr2c2,->
Tp73,Sp1,-|
Sp1,Tbx21,->
Bid,Bak1,->
Bak1,Bad,-|
Bad,Tp53,->
Tp53,Ntrk1,->
Ar,Fn1,->
Ar,Adrbk2,->
Adrbk2,Gnai2,->
Ar,Kat5,->
Casp8,Vim,->
Vim,Prkca,->
Ar,Il12a,->
Ar,Prkd1,->
Prkd1,Kat7,->
Tp53,Klf2,-|
Tp53,Egr1,->
Casp8,Map3k14,->
Casp7,Tnfrsf1a,->
Tnfrsf1a,Ripk3,->
Ar,Nrp1,->
Ar,Sumo1,->
Sumo1,Sox6,->
Tp53,Cdk2,-|
Casp8,Tp63,->
Tp63,Traf4,->
Bid,Htra2,->
Htra2,Pea15,-|
Pea15,Mapk1,->
Mapk1,Gata2,->
Ar,Src,->
Src,H2-K1,->
Casp3,Akt1,-|
Casp7,Max,->
Ar,Glrx,->
Glrx,Irf3,->
Tp63,Nfya,->
Casp8,Eif2ak2,->
Eif2ak2,Cdk1,-|
Cdk1,Nfatc3,->
Casp8,Pak2,->
Pak2,Myc,-|
Ar,Carm1,->
Carm1,Relb,->
Tp73,Irf5,->
Ar,Mdm2,->
Mapk1,Ncoa1,->
Casp3,Rb1,-|
Ar,Esr1,-|
Esr1,Nr0b2,-|
Ar,Lifr,->
Lifr,Negr1,->
Ar,Egfr,->
Ar,Faslg,->
Ar,Myc,->
Myc,Irf2,->
Fn1,Mag,->
Ar,Prkaca,->
Prkaca,Tfam,->
Casp3,Rela,-|
Ar,Zbtb16,->
Zbtb16,Gfi1,->
Ar,Ncoa3,->
Tp53,Jdp2,-|
Bid,Bcl2l1,-|
Bcl2l1,Vdac1,-|
Tp73,Hsf1,->
Hsf1,Hdac2,->
Map3k14,Traf2,->
Map3k14,Ikbkb,->
Ikbkb,Tbk1,->
Pak2,Mapk6,->
Pea15,Mapk3,->
Mapk3,Pax5,-|
Src,Wwox,->
Ar,Il18,->
Il18,Il1rl2,->
Ar,Yy1,->
Egfr,Ikbke,->
Tp63,Cd44,->
Ar,Hdac1,->
Ar,Mndal,->
Ar,Rara,->
Tp63,Il16,->
Mapk3,Grhl1,->
Ar,Ccar2,->
Mapk3,Tal1,->
Casp3,Ptk2,-|
Ptk2,Tln1,->
Casp3,Ppp3r1,->
Ppp3r1,Nfatc2,->
Max,Pax3,->
Tp63,Atm,->
Eif2ak2,Tp53,->
Tp53,Prdm1,->
Ar,F2r,->
F2r,Gnai1,->
Ar,Tbl1xr1,->
Tbl1xr1,Bcl3,-|
