Tgm2,->,Itga4
Tp73,->,Casp1
Pias2,-|,Lrrn3
Hnf1b,->,Mib1
Rcor2,->,Myc
Ulk1,->,Atg4b
Aurka,->,Plk1
Ctnnb1,->,Lmo2
Cbl,->,Syk
Tgfbr2,->,Tgfbr3
Tal1,->,Epor
Csnk1e,->,Snai1
Gata2,-|,Apex1
Furin,->,Vwf
E2f1,->,Ncoa3
Mapk1,-|,Rora
Fyn,->,Cav1
Pgr,->,Bcl2l1
Plk3,->,Tp53
Myc,->,Tgfb1
Abl1,->,Eno1
Ascl1,->,Hes1
Pax6,->,Fn1
